Client_ID,Product_ID,Product_Name,Category,Subcategory,Price,Margin,Score,Reason,Context_Item,Context_Date
CL-100667,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-10-02
CL-100667,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-10-02
CL-100667,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-10-02
CL-100693,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Celine,2025-01-26
CL-100693,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Celine,2025-01-26
CL-100693,LEA-CEL-0081,Triomphe Card Holder (Black),Leather Goods,Card Holder,360,198.00000000000003,200,Colección Celine,Celine,2025-01-26
CL-100750,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2025-04-27
CL-100750,LEA-FEN-0097,Peekaboo Micro Wallet (Gold),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2025-04-27
CL-100750,LEA-FEN-0098,Peekaboo Micro Wallet (Beige),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2025-04-27
CL-101450,TEC-PRA-0140,AirPods Pro Case (Prada),Tech,Case,251,170.0,250,Colección Prada,Prada,2025-09-30
CL-101450,LEA-PRA-0068,Saffiano Metal Holder (Black),Leather Goods,Card Holder,380,209.00000000000003,240,Colección Prada,Prada,2025-09-30
CL-101450,LEA-PRA-0072,Triangle Logo Wallet (Black),Leather Goods,Wallet,520,286.0,240,Colección Prada,Prada,2025-09-30
CL-101946,JEW-LOU-0121,Essential V Necklace (Gold),Jewelry,Necklace,450,270.0,350,Colección Louis Vuitton,Louis Vuitton,2025-01-19
CL-101946,JEW-LOU-0122,Essential V Necklace (Silver),Jewelry,Necklace,450,270.0,350,Colección Louis Vuitton,Louis Vuitton,2025-01-19
CL-101946,JEW-LOU-0123,Blooming Bracelet (Gold),Jewelry,Bracelet,500,300.0,350,Colección Louis Vuitton,Louis Vuitton,2025-01-19
CL-102166,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Hermès,2024-02-06
CL-102166,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Hermès,2024-02-06
CL-102166,JEW-HER-0005,Brazalete Hermès Kelly Dog (Black/Gold),Jewelry,Bracelet,550,270.0,200,Colección Hermès,Hermès,2024-02-06
CL-102611,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Gucci,2024-06-08
CL-102611,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Gucci,2024-06-08
CL-102611,LEA-GUC-0043,GG Marmont Card Case (Black),Leather Goods,Card Holder,290,159.5,200,Colección Gucci,Gucci,2024-06-08
CL-105978,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,390,Mantenimiento Anual,Fendi,2024-10-18
CL-105978,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,390,Mantenimiento Anual,Fendi,2024-10-18
CL-105978,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,390,Mantenimiento Anual,Fendi,2024-10-18
CL-105999,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,280,Mantenimiento Anual,Louis Vuitton,2024-10-04
CL-105999,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,280,Mantenimiento Anual,Louis Vuitton,2024-10-04
CL-105999,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,280,Mantenimiento Anual,Louis Vuitton,2024-10-04
CL-106080,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,240,Colección Fendi,Fendi,2025-10-14
CL-106080,LEA-FEN-0099,Baguette Card Case (Black),Leather Goods,Card Holder,310,170.5,240,Colección Fendi,Fendi,2025-10-14
CL-106080,JEW-FEN-0131,F is Fendi Earrings (Gold),Jewelry,Earrings,330,198.0,240,Colección Fendi,Fendi,2025-10-14
CL-107122,ADO-CHA-0008,Cinturón Chanel Chain & Leather (Vintage),Adornment,Belt,850,450.0,260,Colección Chanel,Chanel,2024-07-21
CL-107122,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Chanel,2024-07-21
CL-107122,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Chanel,2024-07-21
CL-107979,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,280,Mantenimiento Anual,Celine,2025-03-12
CL-107979,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,280,Mantenimiento Anual,Celine,2025-03-12
CL-107979,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,280,Mantenimiento Anual,Celine,2025-03-12
CL-109877,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-06-18
CL-109877,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-06-18
CL-109877,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-06-18
CL-110749,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-07-28
CL-110749,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-07-28
CL-110749,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-07-28
CL-111412,JEW-FEN-0133,O'Lock Choker (Gold),Jewelry,Necklace,540,324.0,350,Colección Fendi,Fendi,2025-01-15
CL-111412,JEW-FEN-0134,O'Lock Choker (Silver),Jewelry,Necklace,550,330.0,350,Colección Fendi,Fendi,2025-01-15
CL-111412,JEW-FEN-0131,F is Fendi Earrings (Gold),Jewelry,Earrings,330,198.0,300,Colección Fendi,Fendi,2025-01-15
CL-112208,CAR-UNI-0145,Saphir Médaille d'Or Renovateur,Care,Leather,24,12.0,280,Cuidado Básico,Prada,2025-12-24
CL-112208,CAR-UNI-0146,Collonil Carbon Pro Spray,Care,Protection,19,10.0,280,Cuidado Básico,Prada,2025-12-24
CL-112208,CAR-UNI-0147,Kit Limpieza Herrajes,Care,Hardware,29,19.0,280,Cuidado Básico,Prada,2025-12-24
CL-112230,JEW-FEN-0133,O'Lock Choker (Gold),Jewelry,Necklace,540,324.0,350,Colección Fendi,Fendi,2025-07-19
CL-112230,JEW-FEN-0134,O'Lock Choker (Silver),Jewelry,Necklace,550,330.0,350,Colección Fendi,Fendi,2025-07-19
CL-112230,JEW-FEN-0131,F is Fendi Earrings (Gold),Jewelry,Earrings,330,198.0,300,Colección Fendi,Fendi,2025-07-19
CL-113665,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2024-10-22
CL-113665,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2024-10-22
CL-113665,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2024-10-22
CL-114499,JEW-LOU-0121,Essential V Necklace (Gold),Jewelry,Necklace,450,270.0,350,Colección Louis Vuitton,Louis Vuitton,2025-06-05
CL-114499,JEW-LOU-0122,Essential V Necklace (Silver),Jewelry,Necklace,450,270.0,350,Colección Louis Vuitton,Louis Vuitton,2025-06-05
CL-114499,JEW-LOU-0123,Blooming Bracelet (Gold),Jewelry,Bracelet,500,300.0,350,Colección Louis Vuitton,Louis Vuitton,2025-06-05
CL-114596,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,280,Mantenimiento Anual,Chanel,2025-03-31
CL-114596,SER-UNI-0149,Spa: Restauración Color,Service,Repair,220,180.0,280,Mantenimiento Anual,Chanel,2025-03-31
CL-114596,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,280,Mantenimiento Anual,Chanel,2025-03-31
CL-114990,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-06-04
CL-114990,LEA-LOU-0010,Zippy Coin Purse (Gold),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-06-04
CL-114990,LEA-LOU-0011,Zippy Coin Purse (Beige),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-06-04
CL-115230,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Celine,2024-06-10
CL-115230,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Celine,2024-06-10
CL-115230,LEA-CEL-0081,Triomphe Card Holder (Black),Leather Goods,Card Holder,360,198.00000000000003,200,Colección Celine,Celine,2024-06-10
CL-116106,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Celine,2024-08-04
CL-116106,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Celine,2024-08-04
CL-116106,LEA-CEL-0081,Triomphe Card Holder (Black),Leather Goods,Card Holder,360,198.00000000000003,200,Colección Celine,Celine,2024-08-04
CL-118979,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-11-27
CL-118979,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-11-27
CL-118979,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-11-27
CL-121115,ADO-CHA-0008,Cinturón Chanel Chain & Leather (Vintage),Adornment,Belt,850,450.0,260,Colección Chanel,Chanel,2024-01-23
CL-121115,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Chanel,2024-01-23
CL-121115,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Chanel,2024-01-23
CL-122377,ADO-CHA-0008,Cinturón Chanel Chain & Leather (Vintage),Adornment,Belt,850,450.0,260,Colección Chanel,Chanel,2024-11-13
CL-122377,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Chanel,2024-11-13
CL-122377,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Chanel,2024-11-13
CL-125382,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-12-14
CL-125382,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-12-14
CL-125382,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-12-14
CL-125858,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Louis Vuitton,2024-08-18
CL-125858,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Louis Vuitton,2024-08-18
CL-125858,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2024-08-18
CL-129946,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2025-05-30
CL-129946,LEA-FEN-0097,Peekaboo Micro Wallet (Gold),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2025-05-30
CL-129946,LEA-FEN-0098,Peekaboo Micro Wallet (Beige),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2025-05-30
CL-130670,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-04-30
CL-130670,LEA-LOU-0010,Zippy Coin Purse (Gold),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-04-30
CL-130670,LEA-LOU-0011,Zippy Coin Purse (Beige),Leather Goods,Card Holder,450,247.50000000000003,200,Colección Louis Vuitton,Louis Vuitton,2025-04-30
CL-132145,SER-UNI-0148,Spa: Limpieza & Ozonización,Service,Spa,120,95.0,240,Mantenimiento Anual,Fendi,2025-02-08
CL-132145,SER-UNI-0150,Autenticación Entrupy,Service,Auth,60,45.0,240,Mantenimiento Anual,Fendi,2025-02-08
CL-132145,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,200,Colección Fendi,Fendi,2025-02-08
CL-132213,TEC-LOU-0136,AirPods Pro Case (Louis Vuitton),Tech,Case,266,170.0,250,Colección Louis Vuitton,Louis Vuitton,2025-08-19
CL-132213,LEA-LOU-0009,Zippy Coin Purse (Black),Leather Goods,Card Holder,450,247.50000000000003,240,Colección Louis Vuitton,Louis Vuitton,2025-08-19
CL-132213,LEA-LOU-0012,Key Pouch (Black),Leather Goods,Card Holder,320,176.0,240,Colección Louis Vuitton,Louis Vuitton,2025-08-19
CL-132563,JEW-FEN-0133,O'Lock Choker (Gold),Jewelry,Necklace,540,324.0,350,Colección Fendi,Fendi,2025-04-23
CL-132563,JEW-FEN-0134,O'Lock Choker (Silver),Jewelry,Necklace,550,330.0,350,Colección Fendi,Fendi,2025-04-23
CL-132563,JEW-FEN-0131,F is Fendi Earrings (Gold),Jewelry,Earrings,330,198.0,300,Colección Fendi,Fendi,2025-04-23
CL-133848,LEA-FEN-0096,Peekaboo Micro Wallet (Black),Leather Goods,Wallet,520,286.0,240,Colección Fendi,Fendi,2025-10-08
CL-133848,LEA-FEN-0099,Baguette Card Case (Black),Leather Goods,Card Holder,310,170.5,240,Colección Fendi,Fendi,2025-10-08
CL-133848,JEW-FEN-0131,F is Fendi Earrings (Gold),Jewelry,Earrings,330,198.0,240,Colección Fendi,Fendi,2025-10-08
CL-135432,LEA-CEL-0081,Triomphe Card Holder (Black),Leather Goods,Card Holder,360,198.00000000000003,240,Colección Celine,Celine,2025-08-03
