Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;;;;Renta neta media por persona;2023;15.036
Total Nacional;;;;Renta neta media por persona;2022;14.061
Total Nacional;;;;Renta neta media por persona;2021;13.268
Total Nacional;;;;Renta neta media por persona;2020;""
Total Nacional;;;;Renta neta media por persona;2019;""
Total Nacional;;;;Renta neta media por persona;2018;""
Total Nacional;;;;Renta neta media por persona;2017;""
Total Nacional;;;;Renta neta media por persona;2016;""
Total Nacional;;;;Renta neta media por persona;2015;""
Total Nacional;;;;Renta neta media por hogar;2023;38.326
Total Nacional;;;;Renta neta media por hogar;2022;35.815
Total Nacional;;;;Renta neta media por hogar;2021;33.881
Total Nacional;;;;Renta neta media por hogar;2020;""
Total Nacional;;;;Renta neta media por hogar;2019;""
Total Nacional;;;;Renta neta media por hogar;2018;""
Total Nacional;;;;Renta neta media por hogar;2017;""
Total Nacional;;;;Renta neta media por hogar;2016;""
Total Nacional;;;;Renta neta media por hogar;2015;""
Total Nacional;;;;Media de la renta por unidad de consumo;2023;22.318
Total Nacional;;;;Media de la renta por unidad de consumo;2022;21.111
Total Nacional;;;;Media de la renta por unidad de consumo;2021;19.948
Total Nacional;;;;Media de la renta por unidad de consumo;2020;""
Total Nacional;;;;Media de la renta por unidad de consumo;2019;""
Total Nacional;;;;Media de la renta por unidad de consumo;2018;""
Total Nacional;;;;Media de la renta por unidad de consumo;2017;""
Total Nacional;;;;Media de la renta por unidad de consumo;2016;""
Total Nacional;;;;Media de la renta por unidad de consumo;2015;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2023;19.250
Total Nacional;;;;Mediana de la renta por unidad de consumo;2022;17.850
Total Nacional;;;;Mediana de la renta por unidad de consumo;2021;17.150
Total Nacional;;;;Mediana de la renta por unidad de consumo;2020;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2019;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2018;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2017;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2016;""
Total Nacional;;;;Mediana de la renta por unidad de consumo;2015;""
Total Nacional;;;;Renta bruta media por persona;2023;18.457
Total Nacional;;;;Renta bruta media por persona;2022;17.207
Total Nacional;;;;Renta bruta media por persona;2021;16.159
Total Nacional;;;;Renta bruta media por persona;2020;""
Total Nacional;;;;Renta bruta media por persona;2019;""
Total Nacional;;;;Renta bruta media por persona;2018;""
Total Nacional;;;;Renta bruta media por persona;2017;""
Total Nacional;;;;Renta bruta media por persona;2016;""
Total Nacional;;;;Renta bruta media por persona;2015;""
Total Nacional;;;;Renta bruta media por hogar;2023;47.046
Total Nacional;;;;Renta bruta media por hogar;2022;43.827
Total Nacional;;;;Renta bruta media por hogar;2021;41.264
Total Nacional;;;;Renta bruta media por hogar;2020;""
Total Nacional;;;;Renta bruta media por hogar;2019;""
Total Nacional;;;;Renta bruta media por hogar;2018;""
Total Nacional;;;;Renta bruta media por hogar;2017;""
Total Nacional;;;;Renta bruta media por hogar;2016;""
Total Nacional;;;;Renta bruta media por hogar;2015;""
Total Nacional;Andalucía;;;Renta neta media por persona;2023;12.522
Total Nacional;Andalucía;;;Renta neta media por persona;2022;11.558
Total Nacional;Andalucía;;;Renta neta media por persona;2021;10.895
Total Nacional;Andalucía;;;Renta neta media por persona;2020;10.293
Total Nacional;Andalucía;;;Renta neta media por persona;2019;10.204
Total Nacional;Andalucía;;;Renta neta media por persona;2018;9.715
Total Nacional;Andalucía;;;Renta neta media por persona;2017;9.240
Total Nacional;Andalucía;;;Renta neta media por persona;2016;8.878
Total Nacional;Andalucía;;;Renta neta media por persona;2015;8.655
Total Nacional;Andalucía;;;Renta neta media por hogar;2023;32.378
Total Nacional;Andalucía;;;Renta neta media por hogar;2022;29.994
Total Nacional;Andalucía;;;Renta neta media por hogar;2021;28.483
Total Nacional;Andalucía;;;Renta neta media por hogar;2020;27.119
Total Nacional;Andalucía;;;Renta neta media por hogar;2019;27.091
Total Nacional;Andalucía;;;Renta neta media por hogar;2018;25.877
Total Nacional;Andalucía;;;Renta neta media por hogar;2017;24.748
Total Nacional;Andalucía;;;Renta neta media por hogar;2016;23.977
Total Nacional;Andalucía;;;Renta neta media por hogar;2015;23.367
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2023;18.675
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2022;17.481
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2021;16.516
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2020;15.619
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2019;15.547
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2018;14.827
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2017;14.110
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2016;13.584
Total Nacional;Andalucía;;;Media de la renta por unidad de consumo;2015;13.231
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2023;16.450
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2020;13.650
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2019;13.650
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2018;12.950
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2017;12.250
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Andalucía;;;Mediana de la renta por unidad de consumo;2015;10.850
Total Nacional;Andalucía;;;Renta bruta media por persona;2023;14.920
Total Nacional;Andalucía;;;Renta bruta media por persona;2022;13.736
Total Nacional;Andalucía;;;Renta bruta media por persona;2021;12.890
Total Nacional;Andalucía;;;Renta bruta media por persona;2020;12.085
Total Nacional;Andalucía;;;Renta bruta media por persona;2019;11.977
Total Nacional;Andalucía;;;Renta bruta media por persona;2018;11.384
Total Nacional;Andalucía;;;Renta bruta media por persona;2017;10.799
