CP,Provincia,Ciudad,Zona_Barrio,Renta_Oficial,Capacidad_Real,Fashion_Wallet,Perfil_Sociologico,Percentil_Nacional
28109,Madrid,Alcobendas,La Moraleja,186789,164374,20531,Elite,0.848
28109,Madrid,Alcobendas,La Moraleja,263014,231452,30592,Elite,0.9273333333333333
28109,Madrid,Alcobendas,La Moraleja,187522,165020,20628,Elite,0.85
28109,Madrid,Alcobendas,La Moraleja,454404,399875,55856,Elite,0.9833333333333333
28109,Madrid,Alcobendas,La Moraleja,682872,600928,86014,Elite,0.995
28109,Madrid,Alcobendas,La Moraleja,472661,415942,58266,Elite,0.9856666666666667
28109,Madrid,Alcobendas,La Moraleja,147417,129727,15334,Elite,0.7513333333333333
28109,Madrid,Alcobendas,La Moraleja,363579,319949,43867,Elite,0.9696666666666667
28109,Madrid,Alcobendas,La Moraleja,446879,393253,54862,Elite,0.983
28109,Madrid,Alcobendas,La Moraleja,469665,413305,57870,Elite,0.9853333333333333
28109,Madrid,Alcobendas,La Moraleja,158287,139292,16768,Elite,0.7886666666666666
28109,Madrid,Alcobendas,La Moraleja,250238,220209,28906,Elite,0.92
28109,Madrid,Alcobendas,La Moraleja,194221,170914,21512,Elite,0.8606666666666667
28109,Madrid,Alcobendas,La Moraleja,321976,283339,38375,Elite,0.9566666666666667
28109,Madrid,Alcobendas,La Moraleja,307036,270192,36403,Elite,0.951
28109,Madrid,Alcobendas,La Moraleja,123123,108349,12127,Elite,0.6533333333333333
28109,Madrid,Alcobendas,La Moraleja,283376,249371,33280,Elite,0.9403333333333334
28109,Madrid,Alcobendas,La Moraleja,158251,139261,16764,Elite,0.7883333333333333
28109,Madrid,Alcobendas,La Moraleja,579463,509927,72364,Elite,0.9923333333333333
28109,Madrid,Alcobendas,La Moraleja,274145,241247,32062,Elite,0.9333333333333333
28109,Madrid,Alcobendas,La Moraleja,128293,112898,12809,Elite,0.676
28109,Madrid,Alcobendas,La Moraleja,222295,195619,25217,Elite,0.8943333333333333
28109,Madrid,Alcobendas,La Moraleja,426868,375643,52221,Elite,0.9806666666666667
